[English Conversation 38](#English-Conversation-38)  
  
## English Conversation 38
[English Conversation 38](https://www.youtube.com/watch?v=oMe5oKH0Vqk&t=1466s)   
  
  
__|__
hmm do you know this one|хм, ты знаешь это
that one|этот
yeah|да уж
yeah I know it|да я знаю это
but can I play it|но могу ли я сыграть в это
hey I do have one I've been practicing lately|эй, у меня есть тот, который я практиковал в последнее время
huh|ага
this one|вот этот
okay I haven't played it in years|хорошо, я не играл в нее много лет
it was one of my favorites|это был один из моих любимых
shall we|А не ___ ли нам
a one, a two, a three|один, два, три
[Music]|[Музыка]
[Laughter]|[Смех]
exuse me|Извините меня
we're conducting a survey of opinions about city living|мы проводим опрос мнений о жизни в городе
do you have a couple of minutes to answer a few questions|у вас есть пара минут, чтобы ответить на несколько вопросов
sure|конечно
why not|Почему нет
great this won't take long|отлично, это не займет много времени
question number one|вопрос номер один
do you agree disagree or have no opinion about each of the following statements|Вы согласны, не согласны или не имеете мнения по каждому из следующих утверждений
there's too much noise pollution in New York|в Нью-Йорке слишком много шума
I agree|согласен
what|какие
me too|я тоже
okay next|хорошо дальше
rush hour in the city has become unbearable|час пик в городе стал невыносимым
I totally agree|Я абсолютно согласен
I mean traffic's been an issue here for years|Я имею в виду, что трафик здесь был проблемой в течение многих лет
but recently it's gotten a lot worse with all the construction going on|но в последнее время стало намного хуже со всем строительством
I walk to school so it's not an issue for me|Я хожу в школу, поэтому для меня это не проблема
so no opinion I guess|так что никакого мнения я думаю
okay now just a few more questions|хорошо, теперь еще несколько вопросов
what do you like most about living in New York|что тебе больше всего нравится в жизни в Нью-Йорке
that's easy the restaurants|это просто рестораны
there are so many of them|их так много
Mexican Japanese Indian and Thai|Мексиканский японский индийский и тайский
how about you|Как насчет тебя
I like the fact that there are so many opportunities in New York|Мне нравится то, что в Нью-Йорке так много возможностей
if you work hard and push yourself you definitely can succeed here|если ты много работаешь и заставляешь себя, ты определенно сможешь здесь добиться успеха
that's true|это правда
but it goes the other way too|но бывает и наоборот
like if you make a mistake for a hundred people to take your place|как если вы сделаете ошибку, чтобы сотня человек заняла ваше место
yeah but if you're really talented|да, но если ты действительно талантлив
okay okay thank you|хорошо хорошо спасибо
next is there anything you don't like about living in New York|Далее есть что-то, что вам не нравится в жизни в Нью-Йорке
where do I start|с чего мне начать
there's not enough parking|недостаточно парковки
there aren't enough affordable apartments|не хватает доступных квартир
too many people and they can be so rude|слишком много людей, и они могут быть такими грубыми
come on|Ну же
I totally disagree|Я полностью не согласен
it's not that bad|это не так уж плохо
the truth is the biggest problem is there's not enough time to enjoy everything the city has to offer|правда в том, что самая большая проблема в том, что не хватает времени, чтобы насладиться всем, что может предложить город
that's interesting|Это интересно
if you can get there in this traffic|если ты сможешь попасть туда в этом потоке
that's not all there are so many beautiful buildings interesting places|это еще не все есть столько красивых построек интересных мест
but there are a lot of problems too|но проблем тоже много
there's the crime..., the polution|есть преступление ... загрязнение
wait a minute|подождите минуту
wait a minute|подождите минуту
you thought you liked it|ты думал, тебе понравилось
thanks a lot for your help|Спасибо большое за вашу помощь
but it can get expensive you know|но это может стать дорогое ты знаешь
so all this time you've been pretending you liked it here|так что все это время ты притворялся, что тебе здесь понравилось
where's she going|куда она идет
I don't know|Я не знаю
but see I told you New Yorker were rude|Но видите, я сказал вам, что жители Нью-Йорка были грубыми
they are not|они не
come on|Ну же
well that letter looks official|хорошо это письмо выглядит официальным
what is it|что это такое
do you remember how I told you guys that my uncle died two weeks ago|Вы помните, как я сказал вам, ребята, что мой дядя умер две недели назад
yeah I was really sorry to hear about him|да, мне было очень жаль слышать о нем
he was the one that you used to hang out with when you were a kid back in Minnesota|он был тем, с кем вы тусовались, когда были ребенком в Миннесоте
the guy who lived on that little farm right|парень, который жил на той маленькой ферме справа
yeah|да уж
well apparently his farm wasn't so little|ну видимо его ферма была не такая уж и маленькая
I just got a letter from his lawyer today|Я только что получил письмо от его адвоката сегодня
it seems that Uncle Max owned all of the land in the area|кажется, что дядя Макс владел всей землей в этом районе
and he left it all to me in his will|и он оставил все мне в своем завещании
guys I'm rich|ребята я богат
you're kidding|ты шутишь
your uncle Max was rich|твой дядя Макс был богат
yeah but I never knew it|да но я никогда не знал этого
what I never knew he was rich|то, что я никогда не знал, он был богат
when I was a kid Uncle Max lived a really simple life|когда я был ребенком, дядя Макс жил очень простой жизнью
it wasn't like he was penniless or anything|не то чтобы он был без гроша или что-то в этом роде
nothing luxurious|ничего роскошного
yeah he had his farm his old truck and that was it|да, у него была ферма, его старый грузовик, и все
Wow so what happened|Вау так что случилось
did he strike it rich or something|он разбогател или что-то в этом роде
no but he always used to tell me Mickey|нет, но он всегда говорил мне Микки
that was his nickname for me|это было его прозвище для меня
Mickey all a man needs is a lot of good land and a strong back to work it|Микки, все, что нужно мужчине, - это много хорошей земли и сильная спина, чтобы работать на ней.
so I guess he must have just worked really hard|так что я думаю, он, должно быть, просто очень много работал
or maybe he invested in his land|а может он вложил в свою землю
I don't know|Я не знаю
whatever he did|что бы он ни делал
it paid off|это окупилось
and you say he didn't have a really lavish lifestyle|и вы говорите, что у него не было действительно щедрого образа жизни
you know like swimming pools for his cows or something|вы знаете, как бассейны для его коров или что-то в этом роде
no he never seemed to spend any money at all|нет, он, похоже, никогда не тратил денег вообще
I mean he was always generous with me|Я имею в виду, он всегда был щедрым со мной
offered to give me spending money|предложил мне потратить деньги
even wanted me to go to private school but I said no|даже хотел, чтобы я пошел в частную школу, но я сказал нет
I thought he was just being nice|Я думал, что он просто хороший
last year he called me to see if I wanted to vacation at his summer house|в прошлом году он позвонил мне, чтобы узнать, хочу ли я провести отпуск в его даче
ah I thought he was just joking|ах, я думал, он просто пошутил
turns out he's got one in Europe|оказывается, он есть в Европе
Mike how could you not have known|Майк, как ты мог не знать
I'm telling you this guy never spent money on anything|Говорю вам, этот парень ни на что не тратил деньги
he never bought anything that wasn't on sale|он никогда не покупал ничего, что не было в продаже
he used to have a timer by his phone|у него был таймер на телефоне
so that people wouldn't talk too long|чтобы люди не говорили слишком долго
guys he would bring home all of the sugar and ketchup packets every time he went to a restaurant|ребята, он приносил домой все пакеты с сахаром и кетчупом каждый раз, когда ходил в ресторан
Wow and no one knew|Вау, и никто не знал
I didn't|Я не
in fact I used to offer to give him money when I could|на самом деле я предлагал дать ему деньги, когда мог
you know wonder he laughed at me|ты знаешь, чудо, он смеялся надо мной
who would have thought he was that well-off|кто бы мог подумать, что он такой богатый
who's was well-off|кто был обеспечен
Mike he's rich|Майк он богат
he's on collecting loads of cash|он собирает кучу денег
yeah right|да правильно
then maybe you can pay for dinner tonight|Тогда, может быть, ты сможешь заплатить за ужин сегодня вечером
that's a great idea|это блестящая идея
I think I'll do that|Я думаю, что сделаю это
I'll take you all out to a nice dinner|Я отведу вас всех на хороший ужин
my treat|я угощаю
all right|все в порядке
thats sound great|это звучит здорово
um Takeshi|эм Такеши
I'm a little short on cash until uncle Max's money comes|Мне немного не хватает денег, пока не придут деньги дяди Макса
do you think I could borrow some|как ты думаешь, я мог бы одолжить немного
I'm good for it|Я хорош для этого
and we're talking a nice dinner|и мы говорим о хорошем ужине
  
  
